valuedatetime,Month,datavalue,dataqualitycode,variable,units,sitecode,sitename,,,,Year
5/23/2018 14:45,5,17.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 15:00,5,17.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 15:15,5,17.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 15:30,5,17.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 15:45,5,17.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 16:00,5,16.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 16:15,5,16.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 16:30,5,16.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 16:45,5,16.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 17:00,5,16.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 17:15,5,15.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 17:30,5,15.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 17:45,5,15.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 18:00,5,15.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 18:15,5,15.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 18:30,5,15.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 18:45,5,15.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 19:00,5,15.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 19:15,5,15.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 19:30,5,15.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 19:45,5,15.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 20:00,5,15.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 20:15,5,14.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 20:30,5,14.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 20:45,5,14.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 21:00,5,14.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/23/2018 21:15,5,14.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
